scientific_name,common_name,species_annotation_codes,eBird_codes,order,notes,habitat,foraging_habit,family,avibase_ID,total_individuals,female,male,unknown,complete_measures,beakLength_culmen,beakLength_nares,beak_width,beak_depth,tarsus_length,wing_length,kipps_distance,secondary,hand_wing_index,tail_length,mass,migration,trophic_level,trophic_niche,primary_lifestyle
Lyncornis macrotis,Great-eared Nightjar,GENI,GENI,Caprimulgiformes,,RF,GRD,Caprimulgidae,AVIBASE-C5E15B31,6,2,3,1,4,16.7,7.1,5.2,3.8,18.1,266.3,141,120,54,176.2,140.6,1,Carnivore,Invertivore,Aerial
Buceros bicornis,Great Hornbill,GH,GRHO,Bucerotiformes,,RF,CAN,Bucerotidae,AVIBASE-A9D587B9,6,2,4,0,4,355.5,271,56.9,64.7,74.5,509.4,133.7,385.8,25.7,421.4,2790.8,1,Omnivore,Frugivore,Insessorial
Centropus sinensis,Greater Coucal,GC,GRCO,Cuculiformes,,OC,UND,Cuculidae,AVIBASE-F5F991AC,9,4,5,0,8,46.6,29.3,9.9,16.3,55.6,212.4,30.9,181.9,14.6,260.9,280.7,1,Carnivore,Vertivore,Terrestrial
Chrysocolaptes guttacristatus,Greater Flameback,GF,GRFL,Piciformes,,RF,CAN,Picidae,AVIBASE-B82693BC,4,2,2,0,4,52.4,39.4,11.3,12,30,165.6,36.9,128.7,22.3,90.1,166,1,Carnivore,Invertivore,Insessorial
Dicrurus paradiseus,Greater Racket-tailed Drongo,GRTD,GRTD,Passeriformes,,RF,CAN,Dicruridae,AVIBASE-2042CD42,11,2,8,1,4,32.5,20.1,10,10.7,24.5,142.9,31.1,111.8,21.8,204.8,85.8,1,Carnivore,Invertivore,Insessorial
Phylloscopus nitidus,Green Warbler,GRW,GRNW,Passeriformes,,RF,CAN,Phylloscopidae,AVIBASE-3542C46B,5,2,3,0,4,12.4,6.6,2.7,2.7,19.1,62.5,14.4,47.2,23.4,50.4,7.8,3,Carnivore,Invertivore,Insessorial
Phylloscopus trochiloides,Greenish Warbler,GNW,GRWA,Passeriformes,eBird_code GRWA,RF,CAN,Phylloscopidae,AVIBASE-23EF1BD9,12,4,8,0,8,11.3,6.4,3,2.6,18.7,61.3,12.2,49,19.9,48.4,8.1,3,Carnivore,Invertivore,Insessorial
Hemicircus canente,Heart-spotted Woodpecker,HSWP,HSWO,Piciformes,,RF,CAN,Picidae,AVIBASE-23956360,5,2,3,0,4,20.4,17,6.4,6.1,17.3,94.6,11.8,81.2,12.7,33.4,43,1,Carnivore,Invertivore,Insessorial
Corvus splendens,House Crow,HC,HOCR,Passeriformes,,OC,GRD,Corvidae,AVIBASE-39868903,25,6,17,2,13,49.7,31.5,13.9,16.7,45.9,258.2,93.8,163.9,36.3,151.9,292.6,1,Omnivore,Omnivore,Terrestrial
Turdus simillimus,Indian Blackbird,IB,INBL,Passeriformes,,RF,GRD,Turdidae,AVIBASE-CED9626E,8,4,4,0,4,25.6,15.3,5.3,7.2,31,126.4,26.3,100.1,20.8,102.2,102.7,1,Omnivore,Omnivore,Generalist
Larvivora brunnea,Indian Blue Robin,IBR,IBRO,Passeriformes,,RF,UND,Muscicapidae,AVIBASE-43B60493,5,2,3,0,4,14.4,8,3.1,3.4,26.2,71.2,13,58,18.3,47.6,17.5,3,Carnivore,Invertivore,Terrestrial
Oriolus kundoo,Indian Golden Oriole,IGO,IGOR,Passeriformes,,OC,CAN,Oriolidae,AVIBASE-4C263A0E,16,5,11,0,4,30.9,19.4,9.2,8.7,23.6,138.9,46.4,93,33.3,84.6,65.6,3,Omnivore,Omnivore,Insessorial
Terpsiphone paradisi,Indian Paradise-Flycatcher,IPF,IPFL,Passeriformes,,RF,MID,Monarchidae,AVIBASE-71AE2656,1,0,1,0,0,24.9,14,7.8,5.9,18,95,18.3,73,20.1,110.2,19.2,2,Carnivore,Invertivore,Insessorial
