site_id,common_name,density
PANMP2B,Yellow-browed Bulbul,0.094867396
PANMP3B,Yellow-browed Bulbul,0.110678629
SEL107R,Yellow-browed Bulbul,0.094867396
SEL107U,Yellow-browed Bulbul,0.063244931
SEL207R,Yellow-browed Bulbul,0.142301094
SEL207U,Yellow-browed Bulbul,0
STIN02R,Yellow-browed Bulbul,0.110678629
STIN02U,Yellow-browed Bulbul,0.079056163
THEN10U,Yellow-browed Bulbul,0.110678629
UPMAP1B,Yellow-browed Bulbul,0.079056163
UPMAP3B,Yellow-browed Bulbul,0.110678629
UPMAP4B,Yellow-browed Bulbul,0.110678629
UPMAP5B,Yellow-browed Bulbul,0.126489861
UPMAP6B,Yellow-browed Bulbul,0.110678629
VAR210R,Yellow-browed Bulbul,0.126489861
VAR310R,Yellow-browed Bulbul,0.063244931
VAR310U,Yellow-browed Bulbul,0.079056163
VAR410R,Yellow-browed Bulbul,0.047433698
VAR410U,Yellow-browed Bulbul,0.047433698
HP36P1B,Orange Minivet,0.057987184
HP36P3B,Orange Minivet,0
HP36P4B,Orange Minivet,0.086980776
HP37P1B,Orange Minivet,0.028993592
HP37P2B,Orange Minivet,0.057987184
HP37P4B,Orange Minivet,0
HP4008R,Orange Minivet,0.028993592
HP4008U,Orange Minivet,0.028993592
INBS04R,Orange Minivet,0.028993592
INBS04U,Orange Minivet,0
INME03R,Orange Minivet,0.115974369
INME03U,Orange Minivet,0.028993592
INOA03R,Orange Minivet,0.028993592
IPTO04R,Orange Minivet,0
IPTO04U,Orange Minivet,0.028993592
IPTO06R,Orange Minivet,0
IPTO06U,Orange Minivet,0
OLCAP2B,Orange Minivet,0.115974369
OLCAP3B,Orange Minivet,0.115974369
OLV110R,Orange Minivet,0.028993592
OLV110U,Orange Minivet,0.057987184
OLV208R,Orange Minivet,0.144967961
OLV208U,Orange Minivet,0
PANMP1B,Orange Minivet,0.057987184
PANMP2B,Orange Minivet,0.028993592
PANMP3B,Orange Minivet,0.144967961
SEL107R,Orange Minivet,0.057987184
SEL107U,Orange Minivet,0
SEL207R,Orange Minivet,0.028993592
SEL207U,Orange Minivet,0.173961553
STIN02R,Orange Minivet,0.057987184
STIN02U,Orange Minivet,0
THEN10U,Orange Minivet,0.057987184
UPMAP1B,Orange Minivet,0.028993592
UPMAP3B,Orange Minivet,0.115974369
UPMAP4B,Orange Minivet,0.057987184
UPMAP5B,Orange Minivet,0.086980776
UPMAP6B,Orange Minivet,0.086980776
VAR210R,Orange Minivet,0.028993592
VAR310R,Orange Minivet,0.057987184
VAR310U,Orange Minivet,0.086980776
VAR410R,Orange Minivet,0.057987184
VAR410U,Orange Minivet,0.057987184
HP36P1B,Large-billed Leaf Warbler,0.070924866
HP36P3B,Large-billed Leaf Warbler,0.088656083
HP36P4B,Large-billed Leaf Warbler,0.088656083
HP37P1B,Large-billed Leaf Warbler,0.159580949
HP37P2B,Large-billed Leaf Warbler,0.124118516
HP37P4B,Large-billed Leaf Warbler,0.017731217
HP4008R,Large-billed Leaf Warbler,0
HP4008U,Large-billed Leaf Warbler,0.035462433
INBS04R,Large-billed Leaf Warbler,0.070924866
INBS04U,Large-billed Leaf Warbler,0.017731217
INME03R,Large-billed Leaf Warbler,0.035462433
INME03U,Large-billed Leaf Warbler,0
INOA03R,Large-billed Leaf Warbler,0.017731217
IPTO04R,Large-billed Leaf Warbler,0.141849732
IPTO04U,Large-billed Leaf Warbler,0.017731217
IPTO06R,Large-billed Leaf Warbler,0.106387299
IPTO06U,Large-billed Leaf Warbler,0.05319365
OLCAP2B,Large-billed Leaf Warbler,0.05319365
OLCAP3B,Large-billed Leaf Warbler,0.088656083
OLV110R,Large-billed Leaf Warbler,0.070924866
OLV110U,Large-billed Leaf Warbler,0.035462433
OLV208R,Large-billed Leaf Warbler,0.070924866
OLV208U,Large-billed Leaf Warbler,0.106387299
PANMP1B,Large-billed Leaf Warbler,0.159580949
PANMP2B,Large-billed Leaf Warbler,0.141849732
PANMP3B,Large-billed Leaf Warbler,0.106387299
SEL107R,Large-billed Leaf Warbler,0.088656083
SEL107U,Large-billed Leaf Warbler,0
SEL207R,Large-billed Leaf Warbler,0
SEL207U,Large-billed Leaf Warbler,0
STIN02R,Large-billed Leaf Warbler,0.035462433
STIN02U,Large-billed Leaf Warbler,0.017731217
THEN10U,Large-billed Leaf Warbler,0
UPMAP1B,Large-billed Leaf Warbler,0.070924866
UPMAP3B,Large-billed Leaf Warbler,0.106387299
